character	countSpeechesInEpisode	Episode ID
PENGUIN'S VOICE D	1	01x12.xml
PENGUIN'S VOICE E	1	01x12.xml
CHIEF AND AQUARIST	1	01x12.xml
MAN FROM ORG	12	01x12.xml
WIFE	1	01x12.xml
NEWBIE AQUARIST	2	01x12.xml
CHIMERA (ANYA)	1	01x12.xml
CHIMERA	9	01x12.xml
PENGUIN (ANYA)	1	01x12.xml
PENGUIN	2	01x12.xml
TOWNSPERSON	2	01x12.xml
